AÑO,MES,DIA,DPA_PROVIN,DPA_DESPRO,DPA_CANTON,DPA_DESCAN,DPA_PARR_1,DPA_DESP_1,longitud,latitud,X,Y,No.,Codigo en,Fuente Sec,Fuente Pri,EVENTO,SUBCATEGOR,CAUSA/DISP,Descripcio,SECTOR / B,OBSERVACIO,GRAVEDAD,Intensidad,Notas,# Muertos,#Heridos,#Desaparec,#Damnifica
1956,8,16,P17,PICHINCHA,C1701,QUITO,PR170109,CHIMBACALLE,-78.51252,-0.2382,776879,9973647,248,Peltre_248,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,"sector Alpahuasi, ciudadela Mexico","Fuerte aguacero causo inundaciones en el sector Sur. Barrios afectados: Mexico, Calles Jubones y Daule","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1956,8,16,P17,PICHINCHA,C1701,QUITO,PR170109,CHIMBACALLE,-78.51949,-0.25059,776103,9972276,249,Peltre_249,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,"sector Chiryacu, Ferroviaria",Fuerte aguacero causo inundaciones en el sector Sur. Barrio afectado: El Camal,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1957,4,27,P17,PICHINCHA,C1701,QUITO,PR170109,CHIMBACALLE,-78.51644,-0.2445,776443,9972950,250,Peltre_250,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,sector Chimbacalle - Alpahuasi ( Barrio Mexico),"inundaciones al sur de la ciudad , calles Maldonado, Daule, Guayllabamba, barrios Chimbacalle y Mexico","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,1,29,P17,PICHINCHA,C1701,QUITO,PR170114,JIPIJAPA,-78.47638,-0.16929,780906,9981270,251,Peltre_251,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,"sector El Inca, Av. 6 de Diciembre",,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,1,31,P17,PICHINCHA,C1701,QUITO,PR170117,LA CONCEPCION,-78.49191,-0.14182,779176,9984310,252,Peltre_252,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Aeropuerto,,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,2,11,P17,PICHINCHA,C1701,QUITO,PR170114,JIPIJAPA,-78.47638,-0.16929,780906,9981270,253,Peltre_253,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,"sector El Inca, Av. 6 de Diciembre",,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,3,P17,PICHINCHA,C1701,QUITO,PR170117,LA CONCEPCION,-78.49191,-0.14182,779176,9984310,254,Peltre_254,Peltre 1989,El Comercio,Inundacion,,Antrópico,,sector Aeropuerto,Inundacion en el aeropuerto y zona aledaña; causa cosntrucción de una calle sin desague y gran acumulacion de tierra y otros materiales,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,27,P17,PICHINCHA,C1701,QUITO,PR170104,COCHAPAMBA,-78.49664,-0.1615,778650,9982132,255,Peltre_255,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Chaupicruz,"Av. Prensa y adyacentes, Panamericana Norte","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,27,P17,PICHINCHA,C1701,QUITO,PR170112,IÑAQUITO,-78.47485,-0.17404,781076,9980745,256,Peltre_256,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,Sector el Batan,,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51449,-0.21944,776660,9975722,257,Peltre_257,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,Cuenca y Mideros,Inundacion en las calles Cuenca y Mideros,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51524,-0.22433,776577,9975181,258,Peltre_258,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,"Av. 24 de Mayo, Venezuela, Maldonado","Inundación Av. 24 de mayo, Venezuela, Maldonado","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,29,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.52276,-0.23557,775739,9973938,259,Peltre_259,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,Sector Magdalena,Inundación en la Machangara ( 2 puentes),"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,3,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.5077,-0.22791,777417,9974785,260,Peltre_260,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Manosalvas,Inundacion calles Antonio Rivera ( Barrio Manosalvas),"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,4,10,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50431,-0.20308,777794,9977532,261,Peltre_261,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Miraflores,Av. America entre Bolivia y ciudadela Universitaria,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,4,21,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.49508,-0.21017,778823,9976747,262,Peltre_262,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Mariscal Sucre,"Inundacion Av. 6 de Diciembre, casa de la Cultura, hay grandes daños","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1958,4,21,P17,PICHINCHA,C1701,QUITO,PR170123,MARISCAL SUCRE,-78.48769,-0.20159,779646,9977697,263,Peltre_263,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Colon,"Inundacion en Avenida Colon, hay grandes daños","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1958,4,21,P17,PICHINCHA,C1701,QUITO,PR170112,IÑAQUITO,-78.47485,-0.17404,781076,9980745,264,Peltre_264,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector el Batan,"Inundacion en el Batan, hay grandes daños","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1958,4,22,P17,PICHINCHA,C1701,QUITO,PR170112,IÑAQUITO,-78.47764,-0.17741,780765,9980372,265,Peltre_265,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector El Batan -  Iñaquito,"Inundacion en la Av. de los Sauces (act. Villaroel) estadio Olimpico, El Batan, crecimiento de la quebrada Seca","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,4,22,P17,PICHINCHA,C1701,QUITO,PR170114,JIPIJAPA,-78.46094,-0.15611,782626,9982728,266,Peltre_266,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Monteserrin,"Inundacion en el sector Monteserrin, Fabricas, Pinto e Isaias","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1958,5,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51476,-0.2239,776630,9975229,267,Peltre_267,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,"Venezuela y Morales, Maldonado, Loja, Ambato","Inundaciones en el centro: calles Loja, Ambato, Chimborazo, Venezuela y Morales, Ponto, Maldonado y Alfaro, Murgueyto, Quijano, Pasaje Maldonado","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1958,5,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51449,-0.21944,776660,9975722,268,Peltre_268,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,Cuenca y Mideros,Inundaciones en el centro : calles Cuenca y Mideros,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1958,5,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51243,-0.21841,776890,9975836,269,Peltre_269,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,Mejia y Benalcazar,Inundaciones en el centro: calles Mejia y Benalcazar,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1959,5,6,P17,PICHINCHA,C1701,QUITO,PR170101,BELISARIO QUEVEDO,-78.49904,-0.20488,778382,9977333,270,Peltre_270,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Miraflores,"Inundaciones en las calles Bolivia, 10 de Agosto, 18 de Septiembre. Lluvias torrenciales","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,5,6,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.4963,-0.21662,778686,9976034,271,Peltre_271,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector la Vicentina,Inundaciones en las calles Wolf ( El Dorado) y Leon ( act. Iquique). Lluvias torrenciales,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,5,6,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.49785,-0.20739,778514,9977055,272,Peltre_272,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector Mariscal Sucre,"Inundaciones en las Calles 9 de Octubre y Av. Patria, Lluvias Torrenciales","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,5,6,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.5044,-0.20669,777784,9977133,273,Peltre_273,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,sector la America,Inundaciones en las calles Costa Rica ( act. Venezuela N) y Santiago. Lluvias torrenciales,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,3,P17,PICHINCHA,C1701,QUITO,PR170101,BELISARIO QUEVEDO,-78.49431,-0.19374,778908,9978565,274,Peltre_274,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,sector belisario Quevedo,Inundaciones por lluvias torrenciales en las calles las Casas y 10 de Agosto,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,3,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.52001,-0.2239,776045,9975229,275,Peltre_275,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,"sector san Roque, barrio Aguarico",Inundaciones por lluvias torrenciales en las calle Perez Quiñonez,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,3,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.52132,-0.23625,775899,9973863,276,Peltre_276,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,Sector Dos Puentes,Inundaciones por lluvias torrenciales en la av. 5 de Junio,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,3,P17,PICHINCHA,C1701,QUITO,PR170117,LA CONCEPCION,-78.49129,-0.14683,779245,9983755,277,Peltre_277,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,sector Cochapamba,"Inundaciones por lluvias torrenciales en las calles Miranda, Dibuja , Av. La Prensa","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,3,P17,PICHINCHA,C1701,QUITO,PR170127,RUMIPAMBA,-78.49389,-0.17685,778956,9980434,278,Peltre_278,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,sector Rumipamba,Inundaciones por lluvias torrenciales en las calle Carondelet,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,10,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.52775,-0.24183,775183,9973246,279,Peltre_279,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,sector La Magdalena,Inundaciones por lluvias torrenciales con lodo y granizo en el Sur. La Magdalena,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1959,10,10,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.52662,-0.24201,775309,9973226,280,Peltre_280,Peltre 1989,El Comercio,Inundacion,,Lluvia,LLuvia ocasional,Sector Dos Puentes,"Inundaciones por lluvias torrenciales con lodo y granizo en el Sur. Calles Bahia, Dos Puentes, calle Quitus","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,8,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51122,-0.22027,777025,9975630,281,Peltre_281,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,Lluvias intensas generada en las zonas altas,La Marín,"Zona sur y central afectadas por ríos que arrastraban lodo, piedras, basura y materiales de construcción desde sitios altos. Calles Venezuela, Guayaquil, Espejo, Mejía, Vargas y Esmeraldas","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,8,29,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50902,-0.20666,777270,9977136,282,Peltre_282,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,Lluvias intensas generada en las zonas altas,Miraflores,"Zona sur y central afectadas por ríos que arrastraban lodo, piedras, basura y materiales de construcción desde sitios altos calles Asunción y Nicaragua","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1960,8,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51926,-0.22493,776129,9975115,283,Peltre_283,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,Lluvias intensas generada en las zonas altas,Panecillo/San Roque,"Zona sur y central afectadas por ríos que arrastraban lodo, piedras, basura y materiales de construcción desde sitios altos. Calles Pérez Quiñonez y Bahía","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1960,9,9,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50501,-0.21633,777716,9976066,284,Peltre_284,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,Lluvia torrencial,"Larrea, calle Briceño","Inundaciones por torrencial lluvia con arrastre de materiales lodo, tierra, basura en la calle Briceño","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,9,9,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50625,-0.22116,777578,9975532,285,Peltre_285,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,Lluvia torrencial,Calle Olmedo,"Inundaciones por torrencial lluvia con arrastre de materiales lodo, tierra, basura en la calle Olmedo","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,9,9,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50857,-0.20978,777320,9976791,286,Peltre_286,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,Lluvia torrencial,"América, calle Panamá","Inundaciones por torrencial lluvia con arrastre de materiales lodo, tierra, basura en la calle Panamá","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,9,28,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.50691,-0.22809,777504,9974765,287,Peltre_287,Peltre 1989,El Comercio,Inundacion,,Lluvia,Violenta tempestad,"Plaza Marín, zona Centro","Violenta tempestad que provocó inundaciones y daños en el centro. Relleno de la Marín, calles Chile, Guayaquil, Manabí, Esmeraldas, Olmedo y Venezuela y Puente 24 de Mayo,","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1960,9,28,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.4999,-0.2129,778285,9976446,288,Peltre_288,Peltre 1989,El Comercio,Inundacion,,Lluvia,Violenta tempestad,El Ejido y calles Flores y Sucre,"Violenta tempestad que provocó inundaciones y daños en el centro. Relleno de la cantera (penal G. Moreno), sector El Ejido, daños entrada a N a los túneles, calle Riquelme","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1960,9,28,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.51579,-0.23724,776515,9973753,289,Peltre_289,Peltre 1989,El Comercio,Inundacion,,Lluvia,Violenta tempestad,Chimbacalle,"Violenta tempestad provocó inundaciones y daños en el sector de Chimbacalle, calle Maldonado y Pedro Gual","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1960,10,15,P17,PICHINCHA,C1701,QUITO,PR170117,LA CONCEPCION,-78.49155,-0.14562,779217,9983889,290,Peltre_290,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Aeropuerto,"Inundación y daños por la tempestad en la zona norte, especialmente sector Aeropuerto","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,10,31,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.52558,-0.2494,775425,9972408,291,Peltre_291,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Sur de Quito,Inundaciones por lluvia,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,10,31,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51251,-0.21947,776881,9975719,292,Peltre_292,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Centro de Quito,Inundaciones por lluvia,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,11,1,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.50219,-0.21652,778030,9976045,293,Peltre_293,Peltre 1989,El Comercio,Inundacion,,Lluvia,,La Alameda,Inundaciones por lluvia,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,11,1,P17,PICHINCHA,C1701,QUITO,PR170123,MARISCAL SUCRE,-78.49404,-0.21004,778938,9976762,294,Peltre_294,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Mariscal Sucre,Inundaciones por lluvia sector norte Av. 12 de Octubre y Patria,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,11,1,P17,PICHINCHA,C1701,QUITO,PR170120,LA LIBERTAD,-78.52394,-0.22975,775608,9974582,295,Peltre_295,Peltre 1989,El Comercio,Inundacion,,Lluvia,,La Colmena,Inundaciones por lluvia en las calles Tumbala y Patate (quebrada s/n al oeste del Panecillo),"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,11,1,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50393,-0.20673,777837,9977128,296,Peltre_296,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Larrea,Inundaciones por lluvia en la calle Santiago,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1960,11,1,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.48824,-0.21288,779584,9976448,297,Peltre_297,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Floresta y Vicentina,"Inundaciones por lluvia, calle Ladrón de Guevara","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,1,17,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50702,-0.20708,777493,9977090,298,Peltre_298,Peltre 1989,El Comercio,Inundacion,,Lluvia,,La América,"Inundaciones en las calles Canadá y Bogotá, Av. América, Costa Rica","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,1,28,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51742,-0.22677,776334,9974911,299,Peltre_299,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Centro de Quito,,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,1,31,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51368,-0.21855,776751,9975821,300,Peltre_300,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Calles Chile y Cuenca,"Inundación en las calles Chile y Cuenca, convento de Santa Clara","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,1,31,P17,PICHINCHA,C1701,QUITO,PR170120,LA LIBERTAD,-78.52491,-0.22031,775500,9975626,301,Peltre_301,Peltre 1989,El Comercio,Inundacion,,Lluvia,,San Roque,Inundaciones en el Colegio Central Técnico,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,1,31,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.51612,-0.23792,776478,9973678,302,Peltre_302,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Calle Sincholagua,,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,3,14,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51274,-0.22437,776855,9975177,303,Peltre_303,Peltre 1989,El Comercio,Inundacion,,Lluvia,Acumulación de más de un metro de agua (profundidad),Quebrada Jerusalem,"Inundaciones en la Av. 24 de Mayo, El Placer, Centro de la ciudad, calles Bolívar, Rocafuerte.","1.  existencia de muertos y heridos, daños materiales importantes",3,,0,0,0,0
1961,3,14,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51079,-0.22054,777072,9975601,304,Peltre_304,Peltre 1989,El Comercio,Inundacion,,Lluvia,Acumulación de más de un metro de agua (profundidad),Quebrada El Tejar,Inundaciones en la calle Chile,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,3,14,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50863,-0.21576,777313,9976129,305,Peltre_305,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Centro de Quito,Inundación calle Galápagos,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,3,14,P17,PICHINCHA,C1701,QUITO,PR170112,IÑAQUITO,-78.48183,-0.18115,780299,9979958,306,Peltre_306,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Carolina,"Inundación sector Carolina, El Batán","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,3,14,P17,PICHINCHA,C1701,QUITO,PR170101,BELISARIO QUEVEDO,-78.51239,-0.19751,776895,9978149,307,Peltre_307,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Quebrada Pambachupa,"Inundación de la calle Quezada (sector Miraflores, Av. Occidental)","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1961,4,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.5059,-0.2165,777617,9976047,308,Peltre_308,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,,calle Caldas,"Inundaciones en el centro y sur de la ciudad, el agua arrastró lodo, arena, basura y piedras.","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,4,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.512,-0.2193,776938,9975738,309,Peltre_309,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,,Bahía y Garcia Moreno,"Inundaciones en el centro y sur de la ciudad, el agua arrastró lodo, arena, basura y piedras.","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,4,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.5186,-0.23429,776202,9974079,310,Peltre_310,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,,Santa Ana,"Inundaciones en el centro y sur de la ciudad, el agua arrastró lodo, arena, basura y piedras, Av. 5 de Junio","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,4,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.52238,-0.23543,775781,9973953,311,Peltre_311,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,,Dos Puentes,"Inundaciones en el centro y sur de la ciudad, el agua arrastró lodo, arena, basura y piedras, zona afectada calle Necochea","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,4,2,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51547,-0.22457,776551,9975155,312,Peltre_312,Pullas&Robalino basado en Peltre 1989,El Comercio,Aluvión,,Lluvia,,Av. 24 de Mayo y Venezuela,"Inundaciones en el centro y sur de la ciudad, el agua arrastró lodo, arena, basura y piedras, zona afectada Av. 24 de mayo y Venezuela, Puente La Ronda, quebrada asociada Jerusalem","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,7,15,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51392,-0.22462,776724,9975149,313,Peltre_313,Peltre 1989,El Comercio,Inundacion,,Lluvia,Lluvias esporádicas,Centro de Quito,Lluvias intensas por tres días luego de verano prolongado,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,9,21,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.5098,-0.22223,777183,9975413,314,Peltre_314,Peltre 1989,El Comercio,Inundacion,,Lluvia,Tempestad,"Montúfar y Espejo, Jiménez",Tempestad ocasionó daños y numerosas inundaciones especialmente en las calles centrales.,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,9,21,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.50586,-0.22593,777621,9975004,315,Peltre_315,Peltre 1989,El Comercio,Inundacion,,Lluvia,Tempestad,La Tola,"Tempestad ocasionó daños y numerosas inundaciones especialmente en las calles centrales, zonas afectadas, Pasaje Miranda, calles León, Concepción y Los Ríos","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,9,21,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.5096,-0.21031,777205,9976732,316,Peltre_316,Peltre 1989,El Comercio,Inundacion,,Lluvia,Tempestad,San Juan,Tempestad ocasionó daños y numerosas inundaciones especialmente en las calles centrales La Habana y Tegucigalpa,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,10,12,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51584,-0.22363,776510,9975259,317,Peltre_317,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Centro de Quito,Inundaciones en las calles centrales Av. 24 de Mayo y García Moreno asociada a la quebrada Jerusalem,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,10,12,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50975,-0.21924,777188,9975744,318,Peltre_318,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"Guayaquil y Olmedo, plaza de la Independencia","Inundación en las calles centrales, Municipio, Plaza de Independencia, Guayaquil y Olmedo, Mejía, Guayaquil y Espejo","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,10,12,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50668,-0.21976,777530,9975687,319,Peltre_319,Peltre 1989,El Comercio,Inundacion,,Lluvia,,La Tola,Inundación en calles centrales Pablo Fermín Cevallos y Esmeraldas,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1961,10,12,P17,PICHINCHA,C1701,QUITO,PR170112,IÑAQUITO,-78.48289,-0.20159,780180,9977697,320,Peltre_320,Peltre 1989,El Comercio,Inundacion,,Lluvia,,La Paz,Inundación en las calles del norte Muros y Av. La Coruña,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
